date,time,open,high,low,close,volume
2018.11.07,00:00,1.14254,1.14993,1.13942,1.14255,143878
2018.11.08,00:00,1.14248,1.14465,1.13512,1.13635,115604
2018.11.09,00:00,1.13623,1.13686,1.13159,1.13333,109492
2018.11.12,00:00,1.13190,1.13305,1.12153,1.12175,108298
2018.11.13,00:00,1.12165,1.12934,1.12161,1.12884,122004
2018.11.14,00:00,1.12886,1.13473,1.12629,1.13082,133916
2018.11.15,00:00,1.13072,1.13621,1.12705,1.13267,138634
2018.11.16,00:00,1.13243,1.14199,1.13213,1.14147,114884
2018.11.19,00:00,1.14123,1.14642,1.13937,1.14517,90868
2018.11.20,00:00,1.14512,1.14721,1.13585,1.13693,104135
2018.11.21,00:00,1.13688,1.14245,1.13633,1.13822,95412
2018.11.22,00:00,1.13810,1.14338,1.13792,1.13999,82849
2018.11.23,00:00,1.13995,1.14209,1.13271,1.13317,85510
2018.11.26,00:00,1.13394,1.13835,1.13248,1.13274,86671
2018.11.27,00:00,1.13262,1.13435,1.12773,1.12855,101499
2018.11.28,00:00,1.12850,1.13872,1.12669,1.13656,101806
2018.11.29,00:00,1.13656,1.14014,1.13485,1.13926,98552
2018.11.30,00:00,1.13925,1.14004,1.13052,1.13157,92002
2018.12.03,00:00,1.13483,1.13795,1.13192,1.13519,90124
2018.12.04,00:00,1.13518,1.14185,1.13183,1.13413,110292
2018.12.05,00:00,1.13404,1.13611,1.13103,1.13442,62489
2018.12.06,00:00,1.13439,1.14124,1.13208,1.13685,119782
2018.12.07,00:00,1.13716,1.14233,1.13601,1.13964,101608
2018.12.10,00:00,1.13901,1.14427,1.13502,1.13538,117066
2018.12.11,00:00,1.13541,1.14000,1.13061,1.13169,102321
2018.12.12,00:00,1.13147,1.13870,1.13147,1.13677,103051
2018.12.13,00:00,1.13675,1.13930,1.13309,1.13563,92027
2018.12.14,00:00,1.13586,1.13647,1.12697,1.13045,87915
2018.12.17,00:00,1.12998,1.13574,1.12963,1.13468,81834
2018.12.18,00:00,1.13467,1.14022,1.13364,1.13598,89759
2018.12.19,00:00,1.13588,1.14391,1.13587,1.13746,113398
2018.12.20,00:00,1.13734,1.14856,1.13692,1.14457,126813
2018.12.21,00:00,1.14447,1.14739,1.13559,1.13676,108794
2018.12.24,00:00,1.13699,1.14382,1.13601,1.14045,88147
2018.12.26,00:00,1.13843,1.14196,1.13426,1.13507,62690
2018.12.27,00:00,1.13501,1.14538,1.13501,1.14282,127447
2018.12.28,00:00,1.14272,1.14725,1.14231,1.14403,104539
2018.12.31,00:00,1.14328,1.14671,1.14213,1.14650,74137
2019.01.02,00:00,1.14628,1.14965,1.13248,1.13422,109136
2019.01.03,00:00,1.13423,1.14109,1.13087,1.13924,132097
2019.01.04,00:00,1.13919,1.14188,1.13456,1.13972,109814
2019.01.07,00:00,1.13944,1.14824,1.13944,1.14743,83702
2019.01.08,00:00,1.14740,1.14844,1.14222,1.14401,88148
2019.01.09,00:00,1.14402,1.15576,1.14364,1.15424,113295
2019.01.10,00:00,1.15422,1.15696,1.14842,1.14993,107872
2019.01.11,00:00,1.14995,1.15400,1.14579,1.14630,96260
2019.01.14,00:00,1.14576,1.14817,1.14505,1.14679,83720
